name,score_rank,popularity_rank,members,year,season,episodes,studio,source,genres,score,ave_main_cast_favorites
Minami-ke Tadaima,#1108,#2398,50911,2013,winter,13.0,feel.,Manga,"['Comedy', 'School', 'Slice of Life']",7.68,4048.3333333333335
Pokemon Best Wishes! Season 2: Episode N,#5177,#2919,35105,2013,winter,14.0,OLM,Game,"['Action', 'Adventure', 'Comedy', 'Kids', 'Fantasy']",6.66,26079.0
AKB0048: Next Stage,#1194,#3004,33134,2013,winter,13.0,Satelight,Original,"['Music', 'Sci-Fi']",7.64,69.5
Shingeki no Kyojin,#103,#2,2945872,2013,spring,25.0,Production I.G,Manga,"['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",8.51,25444.0
Hataraku Maou-sama!,#850,#63,1199059,2013,spring,13.0,White Fox,Light novel,"['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy']",7.8,5271.0
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,#494,#79,1106463,2013,spring,13.0,Brain's Base,Light novel,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'School']",8.04,19961.666666666668
Date A Live,#2866,#129,806599,2013,spring,12.0,AIC PLUS+,Light novel,"['Sci-Fi', 'Harem', 'Comedy', 'Romance', 'Mecha', 'School']",7.19,4538.0
Hentai Ouji to Warawanai Neko.,#2780,#388,392622,2013,spring,12.0,J.C.Staff,Light novel,"['Harem', 'Comedy', 'Supernatural', 'Romance', 'School']",7.21,18009.25
Ore no Imouto ga Konnani Kawaii Wake ga Nai.,#3703,#407,379245,2013,spring,13.0,A-1 Pictures,Light novel,"['Comedy', 'Romance', 'Slice of Life']",7.01,42462.0
Toaru Kagaku no Railgun S,#492,#498,320777,2013,spring,24.0,J.C.Staff,Manga,"['Action', 'Sci-Fi', 'Super Power']",8.04,4520.25
Suisei no Gargantia,#1664,#544,295472,2013,spring,13.0,Production I.G,Original,"['Action', 'Sci-Fi', 'Adventure', 'Mecha']",7.48,16698.333333333332
Karneval (TV),#3208,#892,188910,2013,spring,13.0,Manglobe,Manga,"['Action', 'Fantasy', 'Josei', 'Mystery', 'Sci-Fi']",7.12,45317.5
Aku no Hana,#3040,#943,175897,2013,spring,13.0,Zexcs,Manga,"['Psychological', 'Drama', 'Romance', 'School', 'Shounen']",7.15,5922.333333333333
Haiyore! Nyaruko-san W,#2573,#1055,156738,2013,spring,12.0,Xebec,Light novel,"['Sci-Fi', 'Comedy', 'Parody']",7.26,4304.5
Devil Survivor 2 The Animation,#4198,#1079,153423,2013,spring,13.0,Bridge,Game,"['Action', 'Demons', 'Supernatural']",6.88,17843.8
Kakumeiki Valvrave,#3030,#1113,149447,2013,spring,12.0,Sunrise,Original,"['Action', 'Military', 'Space', 'Mecha']",7.16,6985.75
Photokano,#7533,#1519,101568,2013,spring,13.0,Madhouse,Visual novel,"['Ecchi', 'Romance', 'School']",6.2,7190.777777777777
Uta no☆Prince-sama♪: Maji Love 2000%,#2727,#1532,100558,2013,spring,13.0,A-1 Pictures,Visual novel,"['Harem', 'Music', 'Comedy', 'Romance', 'School', 'Shoujo']",7.22,19179.375
RDG: Red Data Girl,#5666,#1540,99846,2013,spring,12.0,P.A. Works,Novel,"['Fantasy', 'Magic']",6.57,26837.5
Dansai Bunri no Crime Edge,#5003,#1543,99445,2013,spring,13.0,Studio Gokumi,Manga,"['Action', 'Romance', 'Fantasy', 'Seinen']",6.7,7290.0
Yuyushiki,#2083,#1643,92623,2013,spring,12.0,Kinema Citrus,4-koma manga,"['Slice of Life', 'Comedy', 'School']",7.37,3038.6666666666665
Hyakka Ryouran: Samurai Bride,#4758,#1704,87152,2013,spring,12.0,Arms,Light novel,"['Action', 'Ecchi', 'Comedy', 'Harem', 'Samurai', 'School']",6.75,16710.25
Mushibugyou,#2170,#1835,78431,2013,spring,26.0,Seven Arcs Pictures,Manga,"['Action', 'Historical', 'Super Power', 'Ecchi', 'Martial Arts', 'Samurai', 'Fantasy', 'Shounen']",7.34,2076.2
Aiura,#5095,#1895,74266,2013,spring,12.0,LIDENFILMS,4-koma manga,"['Comedy', 'School', 'Shounen', 'Slice of Life']",6.68,46.0
Arata Kangatari,#6126,#2101,63200,2013,spring,12.0,Satelight,Manga,"['Adventure', 'Fantasy', 'Shounen']",6.48,13488.166666666666
Ginga Kikoutai Majestic Prince,#2140,#2411,50521,2013,spring,24.0,Doga Kobo,Manga,"['Action', 'Mecha', 'School', 'Sci-Fi', 'Seinen', 'Space']",7.35,2947.0
Hayate no Gotoku! Cuties,#3578,#2734,39546,2013,spring,12.0,Manglobe,Manga,"['Comedy', 'Harem', 'Parody', 'Romance', 'Shounen']",7.04,14137.0
Namiuchigiwa no Muromi-san,#3847,#2811,37608,2013,spring,13.0,Tatsunoko Production,Manga,"['Slice of Life', 'Comedy', 'Fantasy', 'Shounen']",6.96,3679.0
Inazuma Eleven Go: Galaxy,#5421,#2873,36259,2013,spring,43.0,OLM,Game,"['Shounen', 'Sports', 'Super Power']",6.62,424.0
Pokemon Best Wishes! Season 2: Decolora Adventure,#7125,#3016,32987,2013,spring,20.0,OLM,Game,"['Action', 'Adventure', 'Comedy', 'Kids', 'Fantasy']",6.28,16712.0
"Yondemasu yo, Azazel-san. Z",#1403,#3030,32798,2013,spring,13.0,Production I.G,Manga,"['Comedy', 'Demons', 'Supernatural']",7.57,27232.75
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,#2596,#143,763044,2013,summer,13.0,Lerche,Game,"['Mystery', 'Horror', 'Psychological', 'School']",7.25,6065.333333333333
High School DxD New,#1578,#149,743344,2013,summer,12.0,TNK,Light novel,"['Action', 'Harem', 'Comedy', 'Demons', 'Romance', 'Ecchi', 'School']",7.51,13391.333333333334
Free!,#2118,#189,654773,2013,summer,12.0,Kyoto Animation,Original,"['Slice of Life', 'Comedy', 'Sports', 'Drama', 'School']",7.36,16491.4
Blood Lad,#2376,#235,578098,2013,summer,10.0,Brain's Base,Manga,"['Action', 'Comedy', 'Demons', 'Seinen', 'Supernatural', 'Vampire']",7.3,1315.0
Monogatari Series: Second Season,#31,#248,553504,2013,summer,26.0,Shaft,Light novel,"['Mystery', 'Comedy', 'Supernatural', 'Romance', 'Vampire']",8.78,33430.71428571428
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,#3654,#253,546217,2013,summer,12.0,SILVER LINK.,Web manga,"['Slice of Life', 'Comedy', 'School']",7.02,493.0
Kami nomi zo Shiru Sekai: Megami-hen,#482,#551,291206,2013,summer,12.0,Manglobe,Manga,"['Harem', 'Comedy', 'Supernatural', 'Romance', 'Shounen']",8.05,13261.4
Gin no Saji,#421,#671,246457,2013,summer,11.0,A-1 Pictures,Manga,"['Comedy', 'School', 'Shounen', 'Slice of Life']",8.1,1954.5
Fate/kaleid liner Prisma☆Illya,#3371,#730,229491,2013,summer,10.0,SILVER LINK.,Manga,"['Action', 'Comedy', 'Magic', 'Fantasy']",7.08,2386.0
Kamisama no Inai Nichiyoubi,#2235,#848,196969,2013,summer,12.0,Madhouse,Light novel,"['Adventure', 'Mystery', 'Fantasy']",7.33,9335.0
Servant x Service,#1140,#925,180688,2013,summer,13.0,A-1 Pictures,4-koma manga,"['Comedy', 'Seinen', 'Slice of Life']",7.66,13013.6
Love Lab,#2209,#970,170215,2013,summer,13.0,Doga Kobo,Manga,"['Comedy', 'Romance', 'School']",7.34,6860.8
Gatchaman Crowds,#2290,#982,168479,2013,summer,12.0,Tatsunoko Production,Original,"['Sci-Fi', 'Adventure']",7.32,15754.125
Kiniro Mosaic,#2614,#1023,160932,2013,summer,12.0,Studio Gokumi,4-koma manga,"['Slice of Life', 'Comedy', 'School', 'Seinen']",7.25,4185.8
Brothers Conflict,#8232,#1069,155116,2013,summer,12.0,Brain's Base,Novel,"['Harem', 'Romance', 'Shoujo']",6.06,9832.7
Uchouten Kazoku,#735,#1150,144011,2013,summer,13.0,P.A. Works,Novel,"['Slice of Life', 'Comedy', 'Demons', 'Drama', 'Fantasy']",7.87,12113.5
Choujigen Game Neptune The Animation,#3870,#1200,136837,2013,summer,12.0,David Production,Game,"['Action', 'Comedy', 'Fantasy', 'Parody', 'Sci-Fi', 'Supernatural']",6.96,3023.75
Kimi no Iru Machi,#4126,#1250,131322,2013,summer,12.0,Gonzo,Manga,"['Slice of Life', 'Drama', 'Romance', 'Shounen']",6.9,7919.0
Inu to Hasami wa Tsukaiyou,#5646,#1310,122491,2013,summer,12.0,Gonzo,Light novel,"['Comedy', 'Supernatural']",6.57,14608.0
Makai Ouji: Devils and Realist,#3584,#1510,102062,2013,summer,12.0,Doga Kobo,Manga,"['Mystery', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Fantasy', 'School', 'Josei']",7.04,15787.8
Kingdom 2nd Season,#173,#1710,86768,2013,summer,39.0,Studio Pierrot,Manga,"['Action', 'Military', 'Historical', 'Seinen']",8.37,15654.666666666666
Yami Shibai,#3638,#1741,84826,2013,summer,13.0,ILCA,Original,"['Dementia', 'Horror', 'Supernatural']",7.03,31.0
Rozen Maiden (2013),#2179,#1976,68739,2013,summer,13.0,Studio Deen,Manga,"['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']",7.34,6447.833333333333
Hakkenden: Touhou Hakken Ibun 2nd Season,#1205,#2264,56164,2013,summer,13.0,Studio Deen,Manga,"['Action', 'Demons', 'Supernatural', 'Fantasy', 'Shoujo']",7.64,8704.666666666666
Senyuu. 2,#1721,#2366,52224,2013,summer,13.0,Ordet,Web manga,"['Action', 'Comedy', 'Fantasy', 'Parody', 'Shounen']",7.46,19274.0
Senki Zesshou Symphogear G,#1778,#2386,51360,2013,summer,13.0,Satelight,Original,"['Action', 'Music', 'Sci-Fi']",7.45,12374.333333333334
Stella Jogakuin Koutou-ka C³-bu,#5891,#2421,50237,2013,summer,13.0,Gainax,Manga,"['Military', 'School', 'Sports']",6.53,11570.5
Genei wo Kakeru Taiyou,#6504,#2440,49337,2013,summer,13.0,AIC,Original,['Magic'],6.41,2404.0
Genshiken Nidaime,#1761,#2520,46175,2013,summer,13.0,Production I.G,Manga,"['Slice of Life', 'Comedy', 'Parody']",7.45,1126.142857142857
Kitakubu Katsudou Kiroku,#4636,#2567,44561,2013,summer,12.0,Nomad,Manga,"['Comedy', 'School', 'Slice of Life']",6.78,140.0
Ro-Kyu-Bu! SS,#3419,#2970,33984,2013,summer,12.0,Barnum Studio,Light novel,"['Comedy', 'Ecchi', 'School', 'Sports']",7.07,28738.666666666668
Kill la Kill,#459,#43,1401863,2013,fall,24.0,Trigger,Original,"['Action', 'Comedy', 'Super Power', 'Ecchi', 'School']",8.07,1736.25
Log Horizon,#592,#102,940806,2013,fall,25.0,Satelight,Light novel,"['Action', 'Game', 'Adventure', 'Magic', 'Fantasy']",7.97,2208.6666666666665
Kyoukai no Kanata,#924,#103,940482,2013,fall,12.0,Kyoto Animation,Light novel,"['Slice of Life', 'Supernatural', 'Fantasy']",7.76,4469.0
Golden Time,#895,#136,787468,2013,fall,24.0,J.C.Staff,Light novel,"['Comedy', 'Drama', 'Romance']",7.77,12486.0
Magi: The Kingdom of Magic,#263,#162,695659,2013,fall,25.0,A-1 Pictures,Manga,"['Action', 'Adventure', 'Magic', 'Fantasy', 'Shounen']",8.25,26216.33333333333
Kuroko no Basket 2nd Season,#261,#186,658596,2013,fall,25.0,Production I.G,Manga,"['Comedy', 'Sports', 'School', 'Shounen']",8.25,4124.0
Strike the Blood,#3279,#261,539251,2013,fall,24.0,SILVER LINK.,Light novel,"['Action', 'Harem', 'Supernatural', 'Ecchi', 'Vampire', 'Fantasy', 'School']",7.1,7072.0
Nagi no Asu kara,#489,#294,507161,2013,fall,26.0,P.A. Works,Original,"['Drama', 'Fantasy', 'Romance']",8.04,18942.714285714286
Tokyo Ravens,#1656,#379,406462,2013,fall,24.0,8bit,Light novel,"['Action', 'Comedy', 'Supernatural', 'Magic', 'Romance', 'School']",7.49,34661.333333333336
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",#2698,#444,353063,2013,fall,10.0,Diomedéa,Light novel,"['Comedy', 'Harem', 'Romance', 'School']",7.23,570.25
Non Non Biyori,#616,#461,343713,2013,fall,12.0,SILVER LINK.,Manga,"['Comedy', 'School', 'Seinen', 'Slice of Life']",7.95,4784.0
IS: Infinite Stratos 2,#5964,#482,329739,2013,fall,12.0,8bit,Light novel,"['Action', 'Sci-Fi', 'Harem', 'Comedy', 'Ecchi', 'Mecha']",6.51,19340.571428571428
Outbreak Company,#2547,#536,299613,2013,fall,12.0,feel.,Light novel,"['Harem', 'Comedy', 'Parody', 'Fantasy']",7.26,5754.333333333333
Machine-Doll wa Kizutsukanai,#3251,#579,279198,2013,fall,12.0,Lerche,Light novel,"['Action', 'Ecchi', 'Fantasy', 'School']",7.11,4741.0
Diabolik Lovers,#10690,#583,278318,2013,fall,12.0,Zexcs,Visual novel,"['Harem', 'School', 'Shoujo', 'Vampire']",5.26,2028.7142857142856
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,#4246,#646,255230,2013,fall,12.0,asread.,Light novel,"['Comedy', 'Romance', 'Ecchi', 'Fantasy']",6.87,359.0
White Album 2,#1131,#808,206614,2013,fall,13.0,Satelight,Visual novel,"['Drama', 'Music', 'Romance', 'Slice of Life']",7.67,423.0
Diamond no Ace,#406,#846,197175,2013,fall,75.0,Production I.G,Manga,"['Comedy', 'School', 'Shounen', 'Sports']",8.11,10847.0
Yowamushi Pedal,#597,#868,193601,2013,fall,38.0,TMS Entertainment,Manga,"['Comedy', 'Sports', 'Drama', 'Shounen']",7.97,3168.0
Hajime no Ippo: Rising,#72,#880,191862,2013,fall,25.0,Madhouse,Manga,"['Comedy', 'Sports', 'Drama', 'Shounen']",8.59,16743.833333333332
Kyousou Giga (TV),#925,#1059,156541,2013,fall,10.0,Toei Animation,Original,"['Action', 'Fantasy', 'Supernatural']",7.76,21842.0
Freezing Vibration,#4620,#1143,145246,2013,fall,12.0,A.C.G.T.,Manga,"['Action', 'Military', 'Sci-Fi', 'Harem', 'Drama', 'Romance', 'Ecchi', 'Martial Arts', 'Seinen']",6.78,18560.5
Little Busters!: Refrain,#309,#1166,141800,2013,fall,13.0,J.C.Staff,Visual novel,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'School']",8.21,3861.2
Aoki Hagane no Arpeggio: Ars Nova,#2024,#1206,135879,2013,fall,12.0,SANZIGEN,Manga,"['Action', 'Sci-Fi', 'Seinen']",7.38,527.5
Pokemon XY,#2359,#1308,123168,2013,fall,93.0,OLM,Game,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",7.3,12995.4
Samurai Flamenco,#4172,#1344,118763,2013,fall,22.0,Manglobe,Original,"['Action', 'Comedy', 'Parody', 'Super Power']",6.89,20898.0
Walkure Romanze,#6811,#1372,115978,2013,fall,12.0,8bit,Visual novel,"['Action', 'Ecchi', 'Romance', 'Harem', 'School', 'Sports']",6.35,297.5
Coppelion,#6129,#1425,109639,2013,fall,13.0,GoHands,Manga,"['Action', 'Sci-Fi', 'Seinen']",6.48,36385.66666666666
Yozakura Quartet: Hana no Uta,#1658,#1438,108135,2013,fall,13.0,Tatsunoko Production,Manga,"['Action', 'Comedy', 'Super Power', 'Supernatural', 'Magic', 'Shounen']",7.49,24596.25
Kakumeiki Valvrave 2nd Season,#2480,#1747,84462,2013,fall,12.0,Sunrise,Original,"['Action', 'Space', 'Mecha']",7.28,6985.75
BlazBlue: Alter Memory,#7961,#1789,81222,2013,fall,12.0,Hoods Entertainment,Game,"['Action', 'Fantasy']",6.11,14636.6
Gundam Build Fighters,#920,#2100,63205,2013,fall,25.0,Sunrise,Original,"['Action', 'Sci-Fi', 'Mecha']",7.76,1258.5
Gingitsune,#2947,#2392,51058,2013,fall,12.0,Diomedéa,Manga,"['Seinen', 'Slice of Life', 'Supernatural']",7.17,4720.0
Galilei Donna,#6394,#2416,50356,2013,fall,11.0,A-1 Pictures,Original,"['Action', 'Sci-Fi', 'Adventure']",6.43,1053.3333333333333
Sekai de Ichiban Tsuyoku Naritai!,#9157,#2546,45577,2013,fall,12.0,Arms,Manga,"['Action', 'Ecchi', 'Sports']",5.8,6540.5
Miss Monochrome The Animation,#6610,#2570,44518,2013,fall,13.0,SANZIGEN,Original,"['Music', 'Slice of Life', 'Comedy']",6.39,6332.666666666667
Phi Brain: Kami no Puzzle - Shukuteki! Rätsel-hen,#2527,#3032,32758,2013,fall,25.0,Sunrise,Original,"['Action', 'Game', 'Mystery', 'Shounen']",7.27,8007.833333333333
Noragami,#563,#20,1717849,2014,winter,12.0,Bones,Manga,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']",7.99,54994.66666666666
Nisekoi,#1229,#101,946088,2014,winter,20.0,Shaft,Manga,"['Harem', 'Comedy', 'Romance', 'School', 'Shounen']",7.62,39337.0
Chuunibyou demo Koi ga Shitai! Ren,#1427,#229,588308,2014,winter,12.0,Kyoto Animation,Light novel,"['Comedy', 'Drama', 'Romance', 'School', 'Slice of Life']",7.55,8089.5
D-Frag!,#1428,#475,334699,2014,winter,12.0,Brain's Base,Manga,"['Game', 'Comedy', 'School', 'Seinen']",7.55,22433.8
Mikakunin de Shinkoukei,#1905,#488,327149,2014,winter,12.0,Doga Kobo,4-koma manga,"['Slice of Life', 'Comedy', 'Romance', 'School']",7.41,380.75
Space☆Dandy,#711,#554,289114,2014,winter,13.0,Bones,Original,"['Sci-Fi', 'Space', 'Comedy']",7.88,7500.0
Hamatora The Animation,#2477,#616,263363,2014,winter,12.0,NAZ,Original,"['Mystery', 'Comedy', 'Super Power', 'Drama']",7.28,2004.5
Witch Craft Works,#3553,#618,262453,2014,winter,12.0,J.C.Staff,Manga,"['Action', 'Supernatural', 'Magic', 'Fantasy', 'Seinen']",7.04,5239.5
Sakura Trick,#3719,#744,224099,2014,winter,12.0,Studio Deen,4-koma manga,"['Slice of Life', 'Comedy', 'Romance', 'School', 'Seinen', 'Shoujo Ai']",7.0,3277.1666666666665
Mahou Sensou,#8443,#767,216946,2014,winter,12.0,Madhouse,Light novel,"['Action', 'Fantasy', 'Magic']",6.01,25165.75
Seitokai Yakuindomo*,#992,#770,215737,2014,winter,13.0,GoHands,4-koma manga,"['Slice of Life', 'Comedy', 'School', 'Shounen']",7.72,3819.5
Tonari no Seki-kun,#1411,#903,186523,2014,winter,21.0,Shin-Ei Animation,Manga,"['Comedy', 'School', 'Seinen']",7.56,50911.0
Pupa,#11606,#1028,160260,2014,winter,12.0,Studio Deen,Manga,"['Fantasy', 'Horror', 'Psychological']",3.36,3394.0
Nourin,#4584,#1045,157713,2014,winter,12.0,SILVER LINK.,Light novel,"['Comedy', 'Parody', 'Romance', 'Ecchi', 'School']",6.79,25439.75
"Saikin, Imouto no Yousu ga Chotto Okashiinda ga.",#7334,#1140,145572,2014,winter,12.0,Project No.9,Manga,"['Comedy', 'Ecchi', 'Romance', 'Shounen', 'Supernatural']",6.24,1036.0
"Inari, Konkon, Koi Iroha.",#2784,#1192,138237,2014,winter,10.0,Production IMS,Manga,"['Comedy', 'Romance', 'School', 'Seinen', 'Supernatural']",7.21,707.0
Gin no Saji 2nd Season,#242,#1284,126549,2014,winter,11.0,A-1 Pictures,Manga,"['Comedy', 'School', 'Shounen', 'Slice of Life']",8.28,1954.5
Maken-Ki! Two,#7783,#1303,124434,2014,winter,10.0,Xebec,Manga,"['Action', 'Harem', 'Super Power', 'Ecchi', 'Martial Arts', 'School']",6.16,1299.25
Sekai Seifuku: Bouryaku no Zvezda,#3421,#1304,124227,2014,winter,12.0,A-1 Pictures,Original,"['Action', 'Comedy', 'Fantasy']",7.07,16571.14285714286
Hoozuki no Reitetsu,#863,#1413,111187,2014,winter,13.0,Wit Studio,Manga,"['Comedy', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']",7.79,1014.0
Oneechan ga Kita,#6795,#1569,97579,2014,winter,12.0,C2C,4-koma manga,"['Comedy', 'Slice of Life']",6.35,514.0
Nobunaga the Fool,#5154,#1661,90925,2014,winter,24.0,Satelight,Other,"['Action', 'Historical', 'Mecha', 'Sci-Fi']",6.67,44508.5
Toaru Hikuushi e no Koiuta,#2913,#1671,89917,2014,winter,13.0,TMS Entertainment,Light novel,"['Adventure', 'Drama', 'Romance']",7.18,14045.5
Buddy Complex,#3043,#1875,75871,2014,winter,13.0,Sunrise,Original,"['Action', 'Sci-Fi', 'Mecha']",7.15,28910.33333333333
SoniAni: Super Sonico The Animation,#8117,#1903,73582,2014,winter,12.0,White Fox,Other,"['Music', 'Slice of Life']",6.08,59.333333333333336
Nobunagun,#5065,#2166,60791,2014,winter,13.0,Bridge,Manga,"['Action', 'Sci-Fi', 'Super Power']",6.69,2986.75
Wizard Barristers: Benmashi Cecil,#7645,#2342,53084,2014,winter,12.0,Arms,Original,"['Action', 'Police', 'Magic', 'Fantasy']",6.18,37.0
"Wake Up, Girls!",#3785,#2467,48341,2014,winter,12.0,Tatsunoko Production,Original,"['Drama', 'Music']",6.98,123.42857142857144
Z/X: Ignition,#5913,#2813,37583,2014,winter,12.0,Telecom Animation Film,Card game,"['Game', 'Sci-Fi', 'Adventure', 'Fantasy']",6.52,13754.833333333334
Saki Zenkoku-hen,#1914,#3147,30459,2014,winter,13.0,Studio Gokumi,Manga,"['Game', 'Slice of Life', 'School']",7.41,10357.8
No Game No Life,#370,#12,1934651,2014,spring,12.0,Madhouse,Light novel,"['Game', 'Adventure', 'Comedy', 'Supernatural', 'Ecchi', 'Fantasy']",8.15,22642.0
Haikyuu!!,#116,#38,1426307,2014,spring,25.0,Production I.G,Manga,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",8.48,6256.0
Mahouka Koukou no Rettousei,#1683,#118,842729,2014,spring,26.0,Madhouse,Light novel,"['Action', 'Magic', 'Romance', 'School', 'Sci-Fi', 'Supernatural']",7.48,33045.0
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,#424,#124,827945,2014,spring,24.0,David Production,Manga,"['Action', 'Adventure', 'Supernatural', 'Drama', 'Shounen']",8.1,9537.8
Fairy Tail (2014),#1098,#135,787448,2014,spring,102.0,A-1 Pictures,Manga,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Magic', 'Shounen']",7.68,15376.285714285714
Black Bullet,#3112,#140,772169,2014,spring,13.0,Kinema Citrus,Light novel,"['Action', 'Sci-Fi', 'Mystery', 'Seinen']",7.14,20345.75
Date A Live II,#2773,#302,498371,2014,spring,10.0,Production IMS,Light novel,"['Comedy', 'Harem', 'Mecha', 'Romance', 'School', 'Sci-Fi']",7.21,3474.0
Mekakucity Actors,#3515,#386,394296,2014,spring,12.0,Shaft,Music,"['Sci-Fi', 'Comedy', 'Super Power', 'Supernatural', 'Romance']",7.05,18199.8
Hitsugi no Chaika,#2576,#489,326517,2014,spring,12.0,Bones,Light novel,"['Action', 'Adventure', 'Comedy', 'Romance', 'Fantasy']",7.26,595.6666666666666
Bokura wa Minna Kawai-sou,#1047,#491,325500,2014,spring,12.0,Brain's Base,Manga,"['Slice of Life', 'Comedy', 'Romance', 'School', 'Seinen']",7.7,46351.5
Ping Pong the Animation,#65,#538,299385,2014,spring,11.0,Tatsunoko Production,Manga,"['Drama', 'Psychological', 'Seinen', 'Sports']",8.62,6337.5
Gokukoku no Brynhildr,#4117,#546,294652,2014,spring,13.0,Arms,Manga,"['Drama', 'Mystery', 'Sci-Fi', 'Seinen']",6.9,2593.4
Isshuukan Friends.,#1442,#606,268187,2014,spring,12.0,Brain's Base,4-koma manga,"['Slice of Life', 'Comedy', 'School', 'Shounen']",7.55,7989.5
Soredemo Sekai wa Utsukushii,#1177,#657,251200,2014,spring,12.0,Studio Pierrot,Manga,"['Adventure', 'Romance', 'Fantasy', 'Shoujo']",7.65,293.0
Mushishi Zoku Shou,#41,#676,245473,2014,spring,10.0,Artland,Manga,"['Adventure', 'Slice of Life', 'Mystery', 'Historical', 'Supernatural', 'Fantasy', 'Seinen']",8.71,260.0
Mangaka-san to Assistant-san to The Animation,#3071,#699,235996,2014,spring,12.0,Zexcs,Manga,"['Harem', 'Slice of Life', 'Comedy', 'Ecchi', 'Seinen']",7.15,23030.2
Akuma no Riddle,#5335,#706,234952,2014,spring,12.0,Diomedéa,Manga,"['Action', 'School', 'Shoujo Ai']",6.63,850.0
Love Live! School Idol Project 2nd Season,#866,#760,218587,2014,spring,13.0,Sunrise,Other,"['Music', 'Slice of Life', 'School']",7.79,1292.111111111111
Ryuugajou Nanana no Maizoukin (TV),#2969,#799,208263,2014,spring,11.0,A-1 Pictures,Light novel,"['Adventure', 'Comedy', 'Mystery', 'Supernatural']",7.17,1676.3333333333333
Sidonia no Kishi,#1128,#819,203885,2014,spring,12.0,Polygon Pictures,Manga,"['Action', 'Mecha', 'Sci-Fi', 'Seinen', 'Space']",7.67,4312.0
Gochuumon wa Usagi Desu ka?,#1616,#845,197396,2014,spring,12.0,White Fox,4-koma manga,"['Slice of Life', 'Comedy']",7.5,10395.4
Seikoku no Dragonar,#6115,#922,181358,2014,spring,12.0,C-Station,Light novel,"['Comedy', 'Ecchi', 'Fantasy', 'School']",6.48,6896.75
Soul Eater NOT!,#8765,#935,177771,2014,spring,12.0,Bones,Manga,"['Action', 'Comedy', 'Ecchi', 'Shounen', 'Supernatural']",5.93,22009.666666666668
Kanojo ga Flag wo Oraretara,#6510,#999,165504,2014,spring,13.0,Hoods Entertainment,Light novel,"['Comedy', 'Harem', 'Romance', 'School']",6.41,7549.25
Dragon Ball Kai (2014),#1117,#1158,142583,2014,spring,61.0,Toei Animation,Manga,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Fantasy', 'Shounen']",7.67,1929.0
Selector Infected WIXOSS,#2629,#1232,133240,2014,spring,12.0,J.C.Staff,Card game,"['Game', 'Psychological']",7.25,8931.8
Baby Steps,#783,#1265,128737,2014,spring,25.0,Studio Pierrot,Manga,"['Romance', 'School', 'Shounen', 'Sports']",7.83,779.0
Kamigami no Asobi,#3506,#1297,125293,2014,spring,12.0,Brain's Base,Visual novel,"['Harem', 'Supernatural', 'Romance', 'Fantasy', 'Shoujo']",7.05,27452.42857142857
Blade & Soul,#8163,#1392,113218,2014,spring,13.0,Gonzo,Game,"['Action', 'Adventure', 'Fantasy', 'Martial Arts']",6.07,9038.2
Initial D Final Stage,#276,#1566,97829,2014,spring,4.0,SynergySP,Manga,"['Sports', 'Cars', 'Seinen']",8.24,9575.25
Break Blade,#2495,#1763,83242,2014,spring,12.0,Production I.G,Manga,"['Action', 'Military', 'Fantasy', 'Mecha', 'Shounen']",7.27,32372.75
Inugami-san to Nekoyama-san,#5757,#2006,67517,2014,spring,12.0,Seven,4-koma manga,"['Comedy', 'School', 'Shoujo Ai']",6.55,5645.0
Captain Earth,#6496,#2138,61810,2014,spring,25.0,Bones,Original,"['Action', 'Sci-Fi', 'Space', 'Romance', 'Mecha']",6.41,30620.75
Kenzen Robo Daimidaler,#7816,#2176,60090,2014,spring,12.0,TNK,Manga,"['Action', 'Comedy', 'Ecchi', 'Mecha', 'Seinen']",6.15,7623.75
Escha & Logy no Atelier: Tasogare no Sora no Renkinjutsushi,#6359,#2271,55934,2014,spring,12.0,Studio Gokumi,Game,['Fantasy'],6.44,4424.0
M3: Sono Kuroki Hagane,#5521,#2351,52838,2014,spring,24.0,Satelight,Original,"['Action', 'Drama', 'Mecha', 'Mystery', 'Psychological', 'Sci-Fi']",6.6,4118.875
Yu☆Gi☆Oh! Arc-V,#4887,#2420,50263,2014,spring,148.0,Gallop,Manga,"['Action', 'Game', 'Fantasy', 'Shounen']",6.73,5089.666666666667
